act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
26.0,Rochester,14623,70.0,31793.0,NY,97,,3.1,40068,2.9,Rochester Institute of Technology,private,Rochester Institute of Technology,1,2,0.5672,12858.0,0.6644,0.048,0.0741,0.089,0.0018,0.0002,0.0371,0.0653,0.0201,0.0329,52423.0,40068.0,40068.0,21737.0,19578.0,10342.0,0.6842,29895.0,1918.0,1315.0
26.0,Stony Brook,11794,13.0,34024.0,NY,97,3.8,,26297,2.8,Stony Brook University--SUNY,public,Stony Brook University,1,2,0.4219,17215.0,0.3346,0.0679,0.1213,0.2424,0.0016,0.0008,0.0256,0.1434,0.0626,0.0651,23915.0,9257.0,26767.0,10752.0,22730.0,11275.0,0.6065,13770.0,1407.0,1322.0
23.0,Syracuse,13210,,,NY,97,3.7,,18090,2.0,SUNY College of Environmental Science and Forestry,public,SUNY College of Environmental Science and Forestry,1,2,0.5215,1790.0,0.7955,0.0156,0.0609,0.0391,0.0022,0.0006,0.0235,0.019,0.0436,0.0296,25297.0,8543.0,18193.0,5136.0,18959.0,8190.0,0.716,17923.0,164.0,1235.0
24.0,Buffalo,14214,28.0,37040.0,NY,97,3.6,3.0,26270,2.8,University at Buffalo--SUNY,public,University at Buffalo,1,2,0.5734,20735.0,0.4757,0.0753,0.0735,0.1451,0.003,0.001,0.0239,0.158,0.0445,0.0684,24198.0,9828.0,27068.0,10081.0,17902.0,10140.0,0.6375,17469.0,2432.0,1197.0
23.0,Norman,73019,13.0,35144.0,OK,97,3.6,3.1,24443,2.6,University of Oklahoma,public,University of Oklahoma-Norman Campus,4,6,0.74,21536.0,0.6088,0.0469,0.096,0.0633,0.0389,0.001,0.0837,0.0423,0.019,0.1246,27205.0,11538.0,26919.0,12648.0,12733.0,9475.0,0.8386,19254.0,1202.0,1254.0
25.0,Burlington,5405,48.0,36399.0,VT,97,3.6,2.6,41356,2.3,University of Vermont,public,University of Vermont,1,1,0.672,10513.0,0.8087,0.0127,0.039,0.0283,0.0008,0.0002,0.0302,0.0555,0.0246,0.03,31606.0,17740.0,41356.0,24788.0,16555.0,9791.0,0.7961,18877.0,369.0,1280.0
24.0,Auburn,36849,16.0,39912.0,AL,103,3.9,3.1,29640,3.0,Auburn University,public,Auburn University,1,5,0.8393,23391.0,0.818,0.0625,0.0338,0.024,0.0044,0.0004,0.0182,0.0346,0.0041,0.0838,30458.0,10968.0,29640.0,15479.0,12067.0,10137.0,0.855,23416.0,1057.0,1282.0
26.0,Chicago,60616,62.0,29116.0,IL,103,4.0,2.3,45864,2.8,Illinois Institute of Technology,private,Illinois Institute of Technology,1,3,0.5403,2763.0,0.3435,0.0608,0.165,0.1444,0.0011,0.0004,0.0304,0.2179,0.0366,0.0492,60489.0,45864.0,45864.0,21204.0,11376.0,12391.0,0.5585,22098.0,294.0,1323.0
24.0,Chicago,60660,64.0,38093.0,IL,103,3.7,3.0,42828,,Loyola University Chicago,private,Loyola University Chicago,1,3,0.7059,11193.0,0.5532,0.055,0.1564,0.1196,0.0013,0.003,0.0425,0.054,0.0149,0.0577,56178.0,43078.0,43078.0,24812.0,12176.0,10443.0,0.5387,33036.0,1784.0,1258.0
22.0,Durham,3824,56.0,34826.0,NH,103,3.5,2.6,32637,2.3,University of New Hampshire,public,University of New Hampshire-Main Campus,3,1,0.7651,12847.0,0.8267,0.0114,0.0346,0.0254,0.0016,0.0002,0.0186,0.0374,0.0441,0.0169,31835.0,18067.0,32637.0,13700.0,11696.0,11673.0,0.6559,24529.0,852.0,1177.0
22.0,Eugene,97403,7.0,42682.0,OR,103,3.6,3.1,34611,,University of Oregon,public,University of Oregon,1,8,0.8281,19163.0,0.5824,0.0223,0.1199,0.057,0.0056,0.0035,0.0763,0.118,0.0148,0.0718,24570.0,11931.0,34611.0,16389.0,14187.0,9889.0,0.8005,15693.0,1150.0,1193.0
25.0,Columbia,29208,8.0,41810.0,SC,103,,3.2,32362,2.4,University of South Carolina,public,University of South Carolina-Columbia,2,5,0.7231,25550.0,0.7634,0.0892,0.0466,0.0296,0.0017,0.0011,0.0369,0.0212,0.0104,0.038,26079.0,11862.0,31962.0,13184.0,12407.0,10697.0,0.728,19519.0,2277.0,1282.0
24.0,Knoxville,37996,33.0,39170.0,TN,103,3.9,3.2,31160,2.9,University of Tennessee,public,The University of Tennessee-Knoxville,1,5,0.7697,22151.0,0.7838,0.0655,0.0395,0.0365,0.0021,0.0009,0.0316,0.0149,0.0252,0.0561,30226.0,12970.0,31390.0,11570.0,13853.0,10893.0,0.8751,19335.0,2299.0,1280.0
22.0,Washington,20059,50.0,33124.0,DC,110,3.5,2.7,25697,2.2,Howard University,private,Howard University,1,2,0.4142,6276.0,0.0132,0.8963,0.0072,0.0092,0.0005,0.003,0.0,0.0706,0.0,0.0343,41488.0,25697.0,25697.0,17474.0,23722.0,7161.0,0.7503,23424.0,607.0,1201.0
23.0,Tuscaloosa,35487,27.0,26861.0,AL,110,3.7,3.2,28100,2.5,University of Alabama,public,The University of Alabama,1,5,0.533,32387.0,0.7847,0.1005,0.0471,0.0116,0.0032,0.001,0.0317,0.0161,0.004,0.0792,28836.0,10780.0,28100.0,13574.0,10894.0,10016.0,0.7404,21973.0,1226.0,1278.0
23.0,San Francisco,94117,46.0,42433.0,CA,110,3.4,2.8,46250,,University of San Francisco,private,University of San Francisco,1,8,0.6563,6796.0,0.2566,0.039,0.216,0.2247,0.0026,0.0068,0.0677,0.1669,0.0197,0.0337,63117.0,46250.0,46250.0,27756.0,16898.0,13405.0,0.4125,32210.0,964.0,1203.0
23.0,Stockton,95211,67.0,37188.0,CA,110,3.5,2.2,46346,2.9,University of the Pacific,private,University of the Pacific,1,8,0.6487,3542.0,0.2329,0.0333,0.1976,0.3619,0.004,0.0045,0.072,0.0601,0.0336,0.0268,58718.0,46346.0,46346.0,33201.0,21147.0,10575.0,0.5385,29171.0,449.0,1220.0
21.0,Salt Lake City,84112,11.0,35873.0,UT,110,3.6,3.2,26408,2.9,University of Utah,public,University of Utah,1,7,0.6615,23402.0,0.6857,0.0142,0.1279,0.0581,0.004,0.0048,0.0525,0.0455,0.0074,0.2377,19406.0,8884.0,28127.0,11482.0,15420.0,9781.0,0.9057,13728.0,1017.0,1234.0
22.0,Tempe,85287,31.0,37446.0,AZ,115,3.5,3.6,27372,3.3,Arizona State University--Tempe,public,Arizona State University Campus Immersion,10,6,0.8415,42181.0,0.5,0.0377,0.2067,0.0745,0.011,0.0021,0.0412,0.1218,0.0051,0.0841,24353.0,10792.0,27372.0,18995.0,12311.0,11348.0,0.789,11163.0,2827.0,1235.0
22.0,Ames,50011,34.0,27241.0,IA,115,3.6,3.0,22256,3.3,Iowa State University,public,Iowa State University,1,4,0.8934,29957.0,0.7432,0.0264,0.0535,0.0319,0.0019,0.0009,0.0229,0.0663,0.0532,0.0489,19878.0,8636.0,22472.0,10357.0,9702.0,10857.0,0.8369,14331.0,1992.0,1221.0
24.0,Philadelphia,19122,37.0,35109.0,PA,115,3.6,3.2,27266,2.2,Temple University,public,Temple University,1,2,0.5667,29007.0,0.5593,0.1261,0.0675,0.1164,0.0011,0.0008,0.0322,0.0654,0.0311,0.0862,31599.0,16658.0,28418.0,22122.0,13574.0,10798.0,0.5564,23366.0,2595.0,1050.0
23.0,Lawrence,66045,30.0,30962.0,KS,115,3.6,3.2,26592,2.7,University of Kansas,public,University of Kansas,1,4,0.9338,18903.0,0.7121,0.0426,0.0798,0.0477,0.0034,0.0006,0.0515,0.0566,0.0058,0.0982,24824.0,10824.0,26592.0,12206.0,18034.0,9976.0,0.8282,18814.0,1426.0,1230.0
24.0,St. Paul,55105,55.0,34299.0,MN,115,3.6,2.7,41133,3.1,University of St. Thomas,private,University of St Thomas,1,4,0.8416,6085.0,0.8007,0.0307,0.0506,0.0396,0.0015,0.0002,0.0337,0.0265,0.0166,0.0242,52586.0,41133.0,41133.0,20037.0,14324.0,10446.0,0.5267,30503.0,818.0,1267.0
