,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
41,28.0,Troy,12180,61.0,35125.0,NY,42,3.9,3.1,52305,3.5,Rensselaer Polytechnic Institute,private,Rensselaer Polytechnic Institute,2,2,0.4317,6314.0,0.5336,0.0393,0.0898,0.118,0.0011,0.0003,0.0672,0.137,0.0138,0.0014,68244.0,52305.0,52305.0,27347.0,17911.0,12584.0,0.8889,34839.0,1096.0,1405.0
42,23.02405498281787,Irvine,92697,6.0,43506.0,CA,42,4.0,3.5,43530,3.3,University of California--Irvine,public,University of California-Irvine,1,8,0.3651,29295.0,0.1396,0.0192,0.2643,0.3568,0.0005,0.003,0.0382,0.1675,0.0109,0.0154,31976.0,13738.0,41752.0,15149.0,21993.0,15096.0,0.809,13376.0,3256.0,1291.0
45,29.0,Bethlehem,18015,38.0,25376.0,PA,46,3.5465020576131687,2.9,50740,3.2,Lehigh University,private,Lehigh University,1,2,0.2515,5057.0,0.6377,0.0368,0.0872,0.0827,0.0016,0.0008,0.0289,0.0858,0.0386,0.0113,62921.0,50740.0,50740.0,28732.0,22598.0,13272.0,0.8442,34212.0,578.0,1382.0
47,24.0,Davis,95616,9.0,44075.0,CA,46,4.0,2.8343347639484984,42396,3.5,University of California--Davis,public,University of California-Davis,1,8,0.4336,30046.0,0.2516,0.0221,0.2143,0.2839,0.0018,0.0043,0.0515,0.1568,0.0137,0.026,34428.0,14419.0,42433.0,15911.0,25752.0,13940.0,0.8678,15769.0,2770.0,1286.0
48,28.0,Coral Gables,33124,33.0,34479.0,FL,46,3.6,3.1,48484,2.5,University of Miami,private,University of Miami,1,5,0.357,10613.0,0.4202,0.0824,0.2266,0.054,0.0012,0.0004,0.0319,0.1461,0.0371,0.0451,62810.0,48484.0,48484.0,29896.0,26072.0,12193.0,0.779,29184.0,750.0,1366.0
55,27.0,Washington,20052,43.0,37996.0,DC,56,3.5465020576131687,3.3,53518,2.6,George Washington University,private,George Washington University,1,2,0.4098,11718.0,0.5253,0.0673,0.0979,0.1017,0.0013,0.0011,0.0383,0.1074,0.0596,0.0781,66996.0,53518.0,53518.0,31240.0,22517.0,14272.0,0.4867,31956.0,1143.0,1386.0
56,25.0,West Lafayette,47907,16.0,28383.0,IN,56,3.7,3.6,28804,4.3,Purdue University--West Lafayette,public,Purdue University-Main Campus,10,3,0.5747,31887.0,0.6378,0.0297,0.05,0.0734,0.0013,0.0008,0.0286,0.1555,0.0227,0.0507,22718.0,9992.0,28794.0,16418.0,19065.0,12150.0,0.9465,13746.0,2158.0,1293.0
59,26.0,Seattle,98195,20.0,47746.0,WA,56,3.8,3.6,35538,3.7,University of Washington,public,University of Washington-Seattle Campus,3,8,0.4642,30295.0,0.4048,0.0299,0.0803,0.2459,0.0044,0.0048,0.0741,0.145,0.0106,0.058,24498.0,10974.0,35538.0,17222.0,26427.0,12625.0,0.7749,12037.0,2032.0,1331.0
60,27.0,Provo,84602,38.0,13186.0,UT,61,3.8,3.5,5460,2.6,Brigham Young University--Provo,private,Brigham Young University,1,7,0.524,31233.0,0.8229,0.0052,0.0598,0.0189,0.0028,0.0066,0.0403,0.0318,0.0116,0.0985,17801.0,5460.0,5460.0,5836.0,14613.0,10712.0,0.72,12974.0,1179.0,1364.0
80,27.0,Worcester,1610,62.0,27702.0,MA,81,3.7,2.5,44400,2.806829268292683,Clark University,private,Clark University,1,1,0.5627,2205.0,0.5764,0.0381,0.0798,0.0794,0.0018,0.0,0.0231,0.1379,0.0635,0.0082,53086.0,44400.0,44400.0,18428.0,12561.0,10701.0,1.0,27004.0,316.0,1110.0
